,score
728,609.5188649232495
729,637.5521342089971
730,598.9015034900631
731,624.0117691272608
732,601.2481817461451
733,618.8584138854746
734,623.2704315141394
735,631.8738192372138
736,591.0569928634003
737,572.3293370947924
738,645.9680366107746
739,619.2365437734014
740,484.29128708918586
741,591.3116606489523
742,641.9875956523811
743,674.1378526875701
744,639.5830056801888
745,640.6759963323668
746,658.7560184104842
747,629.5880954959403
748,578.9763115874175
749,662.7196173431631
750,624.1487850035419
751,605.1401699794716
752,646.9064109307142
753,645.3605313076606
754,574.0345867677178
755,584.0761370440018
756,668.9839069035035
757,596.6668345164959
758,613.9586279148789
759,624.1599726561969
760,683.385240901927
761,583.7792219786495
762,619.9622524521847
763,598.3083419389892
764,594.3545177379145
765,671.471660333789
766,610.1070960616744
767,575.4682625572591
768,647.1861899977926
769,521.3624763928044
770,641.6240739532587
771,603.1607953704106
772,596.7805717949745
773,652.0753382607568
774,559.95425713531
775,644.4893668055558
776,583.5850078582421
777,612.2862295677118
778,682.5190476052967
779,655.6324284685616
780,634.0287211337132
781,574.0862356633727
782,664.1715271912473
783,596.1470754630187
784,663.4384843035239
785,612.2884978350575
786,645.5016523179968
787,630.7955878780751
788,622.7045559510774
789,624.581845407093
790,658.4306317692744
791,636.257015594012
792,668.3721958778387
793,618.304661592574
794,599.8660504271211
795,662.7134341024248
796,581.0676609427003
797,576.8949704316258
798,639.6831289713999
799,648.3139260982279
800,622.81499609929
801,629.8309642760958
802,603.9284708516637
803,620.8290097563017
804,600.9682273966926
805,587.0782938857329
806,622.5855660157648
807,579.9393367307703
808,605.7546219733454
809,582.2915811755339
810,658.059077331681
811,596.6242802673387
812,628.9881124744164
813,581.2343246297246
814,611.0847722677238
815,630.3042768974968
816,639.892561216385
817,615.0542741859875
818,629.7888197797115
819,652.3051471483946
820,607.8072602048536
821,611.1185245877331
822,673.8490658661242
823,578.026592035911
824,655.0042772135455
825,618.823440543282
826,640.7079882142989
827,613.5400757426173
828,659.0513428830113
829,610.7691072476173
830,605.4626422852198
831,602.6070766145565
832,631.2229232141191
833,589.8362988370964
834,594.2067614610415
835,636.1812998499051
836,611.141964931537
837,628.1486514590622
838,613.5827911635657
839,605.5336376354252
840,620.125346135326
841,657.5638799951267
842,600.4305825643842
843,649.4723317132596
844,633.023699822997
845,595.5192144500004
846,628.3946947511433
847,661.3399336522473
848,627.1288816307933
849,657.5512239260647
850,634.1942827051043
851,613.866185125167
852,596.160776907702
853,635.4333528711185
854,589.5733091213677
855,608.2383095690059
856,674.2982859304449
857,620.578295701533
858,626.8079339245663
859,649.276597986569
860,571.6785966582022
861,492.8405170022421
862,589.289074375218
863,594.5284929147201
864,588.961690014637
865,625.8392366894418
866,583.1740133902396
867,597.3133514295337
868,587.9537929618587
869,600.6035341589483
870,570.6213154927959
871,601.3491190890521
872,631.8827100498434
873,608.2638978693592
874,643.4382095677724
875,630.0655521780503
876,606.4159947589065
877,643.9004051480936
878,602.8697196766459
879,615.9573702746284
880,650.7915339640992
881,669.7456826855798
882,621.8329927152896
883,570.7393086351908
884,661.7892973043814
885,652.4287616525295
886,626.4064330131271
887,616.831099263746
888,639.3603655911709
889,635.279928982002
890,587.3067109431101
891,610.311459938353
892,676.3933689761884
893,626.7200955323616
894,637.3753350454141
895,589.7902759482015
896,632.8858435301597
897,620.974035900685
898,662.4998831331906
899,663.953900484549
900,607.5443001096064
901,636.9527388467446
902,682.8565967126686
903,607.9527646410771
904,606.009016455332
905,592.914616010057
906,601.7025574680084
907,623.7920862421286
908,631.2697021233777
909,601.0334930903514
910,587.5630746257467
911,631.0389175549585
912,627.5296217664275
913,668.7559566974464
914,662.0103198402626
915,635.6132872768612
916,651.522210754018
917,636.5670382188869
918,559.4362607297601
919,662.3451184624709
920,645.6795736718011
921,626.7372767008304
922,634.694816306171
923,654.6704788206663
924,595.2784705823918
925,649.5130908732726
926,625.9916792798174
927,592.1009369951125
928,666.2792583254144
929,654.171981614694
930,598.4733513991479
931,639.5209707640787
932,624.2530867783651
933,635.626594373217
934,630.8612542796957
935,575.3198445025228
936,683.9946126079986
937,590.9976113716186
938,574.9173025900784
939,685.5501533637092
940,642.0484171784567
941,641.3337720829549
942,599.9758685873755
943,585.95388200878
944,683.6039104413527
945,629.0246363106007
946,545.9386245150728
947,560.4265761566357
948,646.1245896936877
949,641.9479680443501
950,579.6396522135774
951,630.1720921997261
952,598.4768964846538
953,588.2440207013876
954,667.8562723502358
955,637.6302499058347
956,579.4108600798303
957,610.8124171506911
958,645.9251943236254
959,614.2737859886645
960,606.2699221706074
961,656.2102162596879
962,616.0300335243234
963,596.250982277421
964,601.6622200051488
965,580.2318041373692
966,662.1849106141476
967,629.0897374243001
968,609.6744829518848
969,603.8108769812454
970,596.8754346431967
971,624.3494962495768
972,557.5423256977537
973,653.938064771967
974,627.7722230763516
975,608.1169281365276
976,519.7326170529327
977,638.0040641945623
978,643.1189501846842
979,608.9331765139032
980,658.7915101654607
981,606.457048670515
982,590.7770389197715
983,624.6756776282264
984,608.3672493605309
985,678.5833387732819
986,652.1744523272476
987,612.9456947711799
988,645.9652876000508
989,591.8325156863241
990,626.8601568072766
991,666.4763899420186
992,607.9930815205213
993,619.0990377419179
994,656.8969429999197
995,560.7117193778636
996,642.2673213200464
997,658.1732145783878
998,598.1974845626507
999,667.7546531369563
1000,592.9176040181915
1001,623.6995942025619
1002,628.1675392284815
1003,671.1242406003239
1004,627.7479754936388
1005,608.8429541358295
1006,626.2387698205966
1007,620.0232676176415
1008,629.1578249281147
1009,659.5854185265865
1010,637.3749851879173
1011,600.7344963325994
1012,611.1269098363446
1013,575.9870096210972
1014,639.1895871810004
1015,609.639799868557
1016,618.8365693713332
1017,651.6512556821135
1018,532.495894845171
1019,686.1831366389727
1020,585.8850853379199
1021,685.5687836242876
1022,610.8098447678678
1023,582.9014798728409
1024,612.1329226159232
1025,652.0923870387076
1026,676.2203685348528
1027,638.5741972622629
1028,660.779273741643
1029,596.6140110076576
1030,625.5643073478522
1031,554.0709636918609
1032,578.7717692976671
1033,663.6603318246375
1034,652.3239861921694
1035,632.4087045744897
1036,579.8700624560764
1037,612.4504199052753
1038,641.8266862550411
1039,658.3718204209267
1040,629.3296557842827
1041,594.7869222958685
1042,661.1672081928293
1043,614.2946667607025
1044,663.3306778249708
1045,640.1961596007518
1046,577.9077779971915
1047,682.1061688866349
1048,599.6196865633647
1049,599.4353546427326
1050,647.7599512641959
1051,613.6185530975042
1052,675.3230121028128
1053,559.9023631695051
1054,625.421630017918
1055,598.7794597735997
1056,638.1389085108783
1057,645.5803028533318
1058,617.4473332982805
1059,671.678480376376
1060,585.0804913471313
1061,604.3212089623595
1062,606.7114050886614
1063,668.252968261001
1064,609.9245962885667
1065,577.8556631756868
1066,458.09081846667834
1067,574.2425473789784
1068,673.496374174704
1069,601.191960173898
1070,671.8418352597675
1071,604.1110749621171
1072,567.1174129033302
1073,651.2781868006257
1074,652.7766434433577
1075,642.4469823996435
1076,601.3970661704875
1077,617.7091033473232
1078,635.6754915117469
1079,667.1370706969223
1080,618.4446965933851
1081,593.4381733407399
1082,629.2965981960244
1083,598.2191376182062
1084,653.7005663099216
1085,610.2021534973361
1086,655.319153172563
1087,598.9168624422165
1088,589.6676053925057
1089,617.4498021901978
1090,578.9544084818856
1091,634.4436321682857
1092,651.3681891161236
1093,638.5466166030532
1094,686.6593499436904
1095,606.8750623720648
1096,617.7646826067086
1097,544.6258594256052
1098,603.7824502493977
1099,625.9706746317394
1100,574.7096843145421
1101,616.3464238871027
1102,630.4631364340229
1103,643.1630255262196
1104,663.7334535954828
1105,632.6386177292304
1106,581.4415234479663
1107,597.2887244720501
1108,564.3690714942481
1109,622.7058881239291
1110,638.7927467771631
1111,607.0244966698712
1112,594.289959272119
1113,551.5968833286651
1114,616.6800575468087
1115,632.6313273304294
1116,602.8271968626649
1117,586.6270368715919
1118,604.4001578918171
1119,665.6486255961499
1120,616.2025760238096
1121,643.9638669025103
1122,644.2155124535326
1123,651.0101513555458
1124,584.1820420178572
1125,624.9690372442335
1126,614.0209745158526
1127,609.5051550583562
1128,582.1779944950438
1129,640.2590434262225
1130,621.3255939474898
1131,619.8379299458556
1132,629.9548923011517
1133,630.9998012971758
1134,630.078571579887
1135,617.2439259041619
1136,670.4839361898564
1137,653.4788622616611
1138,636.1443956686792
1139,586.2300367315985
1140,614.1658792822943
1141,643.1791939192428
1142,591.0250721542468
1143,600.7196911317849
1144,550.898461055276
1145,660.5391576654998
1146,608.4512269650671
1147,623.8461276705011
1148,657.032555954434
1149,642.9801569445897
1150,556.4973424284035
1151,519.8675089611495
1152,608.9876998492183
1153,617.9600768159796
1154,614.5021936095899
1155,613.4281977918686
1156,635.3283037623662
1157,653.1321402734475
1158,605.6954518495019
1159,647.4616502602254
1160,630.1074159859489
1161,602.6523851123081
1162,658.5062514791249
1163,643.7718216192511
1164,611.1349393945037
1165,618.3368819880321
1166,596.5810479793029
1167,580.5845220668349
1168,676.7429626827038
1169,579.2817061544346
1170,590.962969366936
1171,632.5223009301387
1172,643.8759473790085
1173,668.9572711288597
1174,583.0018700221252
1175,584.7010474935108
1176,600.460030169333
1177,602.9035466923945
1178,668.6985073811327
1179,599.2335674862497
1180,637.4576165807636
1181,557.6367195010228
1182,625.3569209227691
1183,601.354326382496
1184,669.6976343206546
1185,653.2246637902181
1186,616.4315211843423
1187,654.4278004969337
1188,656.9185572752981
1189,656.6250191189598
1190,623.8125427359209
1191,674.8086365810784
1192,634.2125580545584
1193,672.1948160703535
1194,654.5095813948572
1195,611.1844424445794
1196,640.2479520323345
1197,636.643323477772
1198,691.2702690816387
1199,591.5179614670144
1200,635.0138199604156
1201,649.5897405003038
1202,614.0879505977549
1203,625.8405525465229
1204,572.1577468348651
1205,591.7651679925128
1206,604.6115475644043
1207,615.5177572068109
1208,573.3387366306872
1209,658.1158448246845
1210,630.3650233616358
1211,626.2163609097597
1212,559.8498484177748
1213,628.2950585674669
1214,605.5949941350083
1215,669.1481696043613
1216,656.5236552903393
1217,625.0400577194235
1218,625.6481223507391
1219,657.7272130951361
1220,647.584207272906
1221,661.3259992660462
1222,603.8850885189576
1223,608.5852427962478
1224,623.0247965319389
1225,632.7478966818078
1226,595.1284492319012
1227,647.8696291333509
1228,666.7630505462765
1229,603.5058561153596
1230,616.2483484008987
1231,576.4594056968787
1232,633.6832391256406
1233,637.891517002821
1234,606.742920581121
1235,599.2550109303196
1236,667.1394765500758
1237,581.1666851441936
1238,623.1211964239168
1239,663.1755387688725
1240,638.5076347519366
1241,604.3488701846503
1242,620.9443386360153
1243,673.1210959343343
1244,567.3474828151678
1245,646.9533203361385
1246,629.4446476249092
1247,604.0134093692615
1248,656.1254459626141
1249,645.5309633386809
1250,659.7093972573355
1251,576.2146505155754
1252,606.7437265092505
1253,644.7196247619449
1254,589.6137733906421
1255,664.0696316640882
1256,617.9027588755777
1257,579.7919765430502
1258,631.1296879214917
1259,638.6755904357447
1260,625.7380930278055
1261,588.452850269734
1262,567.6698421158026
1263,599.3449801367788
1264,631.224956835487
1265,625.8456410440106
1266,575.4568897573826
1267,594.1323909639041
1268,611.0747572392011
1269,598.3444507783261
1270,643.7339039244684
1271,681.1295431501023
1272,667.5163149673328
1273,659.015340156906
1274,633.8468514329224
1275,574.795520870117
1276,664.2255357999622
1277,597.1875046862749
1278,648.469366968035
1279,645.4111802136918
1280,609.9169757964911
1281,619.607199420577
1282,617.439459263544
1283,601.9906980601943
1284,626.7131398063996
1285,671.393878616999
1286,619.0511010249691
1287,603.4806808634596
1288,563.4047006036698
1289,583.1171556887546
1290,627.9078074539177
1291,650.2563234644529
1292,637.7844994488598
1293,589.8024929896402
1294,647.9286317613698
1295,619.5110502993381
1296,596.957849252763
1297,548.1198116559328
1298,614.7656300022297
1299,548.9456979570724
1300,624.4762305607268
1301,623.801613626256
1302,603.285658492321
1303,647.8745085226967
1304,654.8978816633994
1305,614.7633725467837
1306,630.142154919707
1307,584.935316971749
1308,638.2410314736572
1309,658.4667335222567
1310,537.5175097424647
1311,593.6457489227962
1312,637.8108452876548
1313,630.1100363744565
1314,637.6384783487955
1315,577.0825466587019
1316,616.9548968382392
1317,601.3083752105391
1318,621.8185441912503
1319,668.2359728445589
1320,574.5923583550822
1321,636.1994574237693
1322,617.5794622073574
1323,609.1442890858685
